Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,1,168331000,2013
議会費,1,議会費,1,183185000,2012
総務費,2,総務費,2,1751407000,2013
総務費,2,総務費,2,1790369000,2012
民生費,3,民生費,3,4235238000,2013
民生費,3,民生費,3,4334622000,2012
衛生費,4,衛生費,4,1591710000,2013
衛生費,4,衛生費,4,1720901000,2012
労働費,5,労働費,5,27541000,2013
労働費,5,労働費,5,5277000,2012
農林水産業費,6,農林水産業費,6,641932000,2013
農林水産業費,6,農林水産業費,6,608667000,2012
商工費,7,商工費,7,263317000,2013
商工費,7,商工費,7,306759000,2012
土木費,8,土木費,8,2560456000,2013
土木費,8,土木費,8,2566228000,2012
消防費,9,消防費,9,772196000,2013
消防費,9,消防費,9,732980000,2012
教育費,10,教育費,10,2454291000,2013
教育費,10,教育費,10,2100984000,2012
公債費,11,公債費,11,3246897000,2013
公債費,11,公債費,11,3666204000,2012
諸支出金,12,諸支出金,12,2024514000,2013
諸支出金,12,諸支出金,12,1064909000,2012
予備費,13,予備費,13,0,2013
予備費,13,予備費,13,0,2012
災害復旧費,14,災害復旧費,14,63995000,2013
災害復旧費,14,災害復旧費,14,7459000,2012
